Time-stamp: 5 s, Heart Rate: 3.00 BPM
Time-stamp: 6 s, Heart Rate: 3.05 BPM
Time-stamp: 6 s, Heart Rate: 4.05 BPM
Time-stamp: 6 s, Heart Rate: 5.63 BPM
Time-stamp: 6 s, Heart Rate: 5.72 BPM
Time-stamp: 6 s, Heart Rate: 5.79 BPM
Time-stamp: 6 s, Heart Rate: 7.45 BPM
Time-stamp: 6 s, Heart Rate: 9.60 BPM
Time-stamp: 6 s, Heart Rate: 12.10 BPM
Time-stamp: 6 s, Heart Rate: 14.40 BPM
Time-stamp: 6 s, Heart Rate: 15.29 BPM
Time-stamp: 7 s, Heart Rate: 16.95 BPM
Time-stamp: 7 s, Heart Rate: 18.53 BPM
Time-stamp: 7 s, Heart Rate: 19.01 BPM
Time-stamp: 7 s, Heart Rate: 19.98 BPM
Time-stamp: 7 s, Heart Rate: 20.63 BPM
Time-stamp: 7 s, Heart Rate: 21.54 BPM
Time-stamp: 7 s, Heart Rate: 22.47 BPM
Time-stamp: 7 s, Heart Rate: 23.47 BPM
Time-stamp: 7 s, Heart Rate: 23.99 BPM
Time-stamp: 7 s, Heart Rate: 24.55 BPM
Time-stamp: 7 s, Heart Rate: 25.58 BPM
Time-stamp: 7 s, Heart Rate: 26.83 BPM
Time-stamp: 7 s, Heart Rate: 28.08 BPM
Time-stamp: 7 s, Heart Rate: 28.99 BPM
Time-stamp: 7 s, Heart Rate: 30.02 BPM
Time-stamp: 7 s, Heart Rate: 30.93 BPM
Time-stamp: 7 s, Heart Rate: 32.01 BPM
Time-stamp: 7 s, Heart Rate: 33.12 BPM
Time-stamp: 7 s, Heart Rate: 34.19 BPM
Time-stamp: 7 s, Heart Rate: 35.44 BPM
Time-stamp: 7 s, Heart Rate: 36.69 BPM
Time-stamp: 7 s, Heart Rate: 36.96 BPM
Time-stamp: 7 s, Heart Rate: 37.90 BPM
Time-stamp: 7 s, Heart Rate: 38.49 BPM
Time-stamp: 7 s, Heart Rate: 39.49 BPM
Time-stamp: 7 s, Heart Rate: 40.49 BPM
Time-stamp: 7 s, Heart Rate: 41.08 BPM
Time-stamp: 8 s, Heart Rate: 41.58 BPM
Time-stamp: 8 s, Heart Rate: 42.17 BPM
Time-stamp: 8 s, Heart Rate: 42.90 BPM
Time-stamp: 8 s, Heart Rate: 43.97 BPM
Time-stamp: 8 s, Heart Rate: 45.17 BPM
Time-stamp: 8 s, Heart Rate: 46.47 BPM
Time-stamp: 8 s, Heart Rate: 47.72 BPM
Time-stamp: 8 s, Heart Rate: 48.97 BPM
Time-stamp: 8 s, Heart Rate: 50.08 BPM
Time-stamp: 8 s, Heart Rate: 50.58 BPM
Time-stamp: 8 s, Heart Rate: 51.65 BPM
Time-stamp: 8 s, Heart Rate: 52.13 BPM
Time-stamp: 8 s, Heart Rate: 50.17 BPM
Time-stamp: 8 s, Heart Rate: 51.06 BPM
Time-stamp: 8 s, Heart Rate: 50.87 BPM
Time-stamp: 8 s, Heart Rate: 49.69 BPM
Time-stamp: 8 s, Heart Rate: 50.20 BPM
Time-stamp: 8 s, Heart Rate: 50.63 BPM
Time-stamp: 8 s, Heart Rate: 49.55 BPM
Time-stamp: 8 s, Heart Rate: 48.00 BPM
Time-stamp: 8 s, Heart Rate: 45.83 BPM
Time-stamp: 8 s, Heart Rate: 44.56 BPM
Time-stamp: 8 s, Heart Rate: 44.87 BPM
Time-stamp: 8 s, Heart Rate: 44.51 BPM
Time-stamp: 9 s, Heart Rate: 43.93 BPM
Time-stamp: 9 s, Heart Rate: 44.00 BPM
Time-stamp: 9 s, Heart Rate: 44.07 BPM
Time-stamp: 9 s, Heart Rate: 44.33 BPM
Time-stamp: 9 s, Heart Rate: 44.45 BPM
Time-stamp: 9 s, Heart Rate: 44.76 BPM
Time-stamp: 9 s, Heart Rate: 45.01 BPM
Time-stamp: 9 s, Heart Rate: 45.75 BPM
Time-stamp: 9 s, Heart Rate: 46.44 BPM
Time-stamp: 9 s, Heart Rate: 46.66 BPM
Time-stamp: 9 s, Heart Rate: 46.66 BPM
Time-stamp: 9 s, Heart Rate: 46.66 BPM
Time-stamp: 9 s, Heart Rate: 47.00 BPM
Time-stamp: 9 s, Heart Rate: 47.21 BPM
Time-stamp: 9 s, Heart Rate: 47.55 BPM
Time-stamp: 9 s, Heart Rate: 47.73 BPM
Time-stamp: 9 s, Heart Rate: 47.87 BPM
Time-stamp: 9 s, Heart Rate: 47.80 BPM
Time-stamp: 9 s, Heart Rate: 47.80 BPM
Time-stamp: 9 s, Heart Rate: 47.80 BPM
Time-stamp: 9 s, Heart Rate: 48.77 BPM
Time-stamp: 9 s, Heart Rate: 49.09 BPM
Time-stamp: 9 s, Heart Rate: 49.75 BPM
Time-stamp: 9 s, Heart Rate: 50.00 BPM
Time-stamp: 9 s, Heart Rate: 49.91 BPM
Time-stamp: 9 s, Heart Rate: 50.39 BPM
Time-stamp: 9 s, Heart Rate: 51.14 BPM
Time-stamp: 9 s, Heart Rate: 51.62 BPM
Time-stamp: 9 s, Heart Rate: 51.68 BPM
Time-stamp: 9 s, Heart Rate: 51.65 BPM
Time-stamp: 9 s, Heart Rate: 51.65 BPM
Time-stamp: 9 s, Heart Rate: 51.65 BPM
Time-stamp: 9 s, Heart Rate: 51.65 BPM
Time-stamp: 9 s, Heart Rate: 51.60 BPM
Time-stamp: 9 s, Heart Rate: 51.79 BPM
Time-stamp: 9 s, Heart Rate: 52.55 BPM
Time-stamp: 9 s, Heart Rate: 52.73 BPM
Time-stamp: 10 s, Heart Rate: 53.49 BPM
Time-stamp: 10 s, Heart Rate: 53.71 BPM
Time-stamp: 10 s, Heart Rate: 54.07 BPM
Time-stamp: 10 s, Heart Rate: 54.51 BPM
Time-stamp: 10 s, Heart Rate: 55.08 BPM
Time-stamp: 10 s, Heart Rate: 55.33 BPM
Time-stamp: 10 s, Heart Rate: 55.09 BPM
Time-stamp: 10 s, Heart Rate: 55.39 BPM
Time-stamp: 10 s, Heart Rate: 55.32 BPM
Time-stamp: 10 s, Heart Rate: 55.54 BPM
Time-stamp: 10 s, Heart Rate: 55.54 BPM
Time-stamp: 10 s, Heart Rate: 54.61 BPM
Time-stamp: 10 s, Heart Rate: 54.34 BPM
Time-stamp: 10 s, Heart Rate: 54.59 BPM
Time-stamp: 10 s, Heart Rate: 55.29 BPM
Time-stamp: 10 s, Heart Rate: 55.14 BPM
Time-stamp: 10 s, Heart Rate: 55.27 BPM
Time-stamp: 10 s, Heart Rate: 55.17 BPM
Time-stamp: 10 s, Heart Rate: 54.80 BPM
Time-stamp: 10 s, Heart Rate: 54.80 BPM
Time-stamp: 10 s, Heart Rate: 54.80 BPM
Time-stamp: 10 s, Heart Rate: 54.80 BPM
Time-stamp: 10 s, Heart Rate: 54.86 BPM
Time-stamp: 10 s, Heart Rate: 54.81 BPM
Time-stamp: 10 s, Heart Rate: 54.86 BPM
Time-stamp: 10 s, Heart Rate: 54.92 BPM
Time-stamp: 10 s, Heart Rate: 54.63 BPM
Time-stamp: 11 s, Heart Rate: 53.81 BPM
Time-stamp: 11 s, Heart Rate: 53.56 BPM
Time-stamp: 11 s, Heart Rate: 53.06 BPM
Time-stamp: 11 s, Heart Rate: 52.54 BPM
Time-stamp: 11 s, Heart Rate: 52.33 BPM
Time-stamp: 11 s, Heart Rate: 51.81 BPM
Time-stamp: 11 s, Heart Rate: 50.98 BPM
Time-stamp: 11 s, Heart Rate: 50.10 BPM
